A,B,main_number,secondary_number,frequency
11791.84454,1020487.377,2,4,8.12
3341.037735,1156612.062,2,2,8.69
7976.422888,1183114.501,3,4,8.17
7313.209614,1328073.737,3,4,8.22
14862.08246,1565232.561,2,5,8.25
9593.787707,1866340.325,2,4,8
13479.88433,1900173.924,2,4,8.22
8552.024052,2017986.719,2,3,8.12
3579.030289,2037449.995,3,3,8.66
22264.80511,2081201.537,2,6,8.8
17705.90405,2095136.483,3,6,8.35
20609.07428,2132564.227,2,5,8.75
9375.098407,2395655.112,2,4,8.02
8005.521456,2557356.865,2,4,8.17
26292.27312,2661049.944,2,4,9.04
11727.0201,2706333.548,2,4,8.1
20671.62684,3150633.61,2,5,8.75
13549.1607,3375147.09,2,4,8.22
23810.07311,3442265.297,2,6,9.23
22479.42562,3512157.207,2,5,8.8
11392.08334,3806839.023,2,4,8.09
13802.73521,4049414.298,2,4,8.25
6390.489795,4336479.613,2,3,8.3
32333.0245,4418840.087,4,8,8.7
25969.55202,5116920.015,2,6,9.36
5162.825818,5265077.855,4,2,8.44
23329.05689,5732948.21,2,5,9.01
12638.29496,5767864.651,5,4,8.17
22964.91813,5800897.409,3,6,9
31243.48179,6581131.296,2,6,8.75
24568.73937,6.76E+06,2,5,9.8
27601.36876,7175188.828,2,4,9
19236.62949,7575875.068,3,4,8.44
31802.1881,8044508.893,2,4,8.72
24832.36535,8185809.17,2,5,9.9
10295.15728,9685062.814,3,3,8.05
23641.41618,10000544.65,3,4,9.23
24216.57001,10339472.17,3,5,9.73
20001.67955,10896759.1,2,5,8.53
23263.72667,1.13E+07,3,5,9.01
