A,B,C,main_number,secondary_number,frequency
11791.84454,1020487.377,4.09E+09,2,4,8.12
3341.03774,1156612.062,2.49E+08,2,2,8.69
7976.42289,1183114.501,3.11E+09,3,4,8.17
7313.20961,1328073.737,3.38E+09,3,4,8.22
14862.08246,1565232.561,9.31E+09,2,5,8.25
9593.78771,1866340.325,4.76E+09,2,4,8
13479.88433,1900173.924,8.68E+09,2,4,8.22
8552.02405,2017986.719,2.00E+08,2,3,8.12
3579.03029,2037449.995,3.63E+08,3,3,8.66
22264.80511,2081201.537,1.37E+10,2,6,8.8
17705.90405,2095136.483,1.02E+10,3,6,8.35
20609.07428,2132564.227,1.11E+10,2,5,8.75
9375.09841,2395655.112,5.03E+09,2,4,8.02
8005.52146,2557356.865,6.25E+08,2,4,8.17
26292.27312,2661049.944,2.67E+10,2,4,9.04
11727.0201,2706333.548,6.32E+09,2,4,8.1
20671.62684,3150633.61,2.03E+10,2,5,8.75
13549.1607,3375147.09,1.12E+10,2,4,8.22
23810.07311,3442265.297,2.67E+10,2,6,9.23
22479.42562,3512157.207,9.37E+09,2,5,8.8
11392.08334,3806839.023,1.25E+10,2,4,8.09
13802.73521,4049414.298,1.10E+10,2,4,8.25
6390.4898,4336479.613,1.84E+09,2,3,8.3
32333.0245,4418840.087,3.02E+10,4,8,8.7
25969.55202,5116920.015,4.15E+10,2,6,9.36
5162.82582,5265077.855,1.20E+09,4,2,8.44
23329.05689,5732948.21,1.95E+10,2,5,9.01
12638.29496,5767864.651,9.90E+09,5,4,8.17
22964.91813,5800897.409,3.97E+10,3,6,9
31243.48179,6581131.296,5.49E+10,2,6,8.75
24568.73937,6.76E+06,5.75E+10,2,5,9.8
27601.36876,7175188.828,4.51E+10,2,4,9
19236.62949,7575875.068,3.88E+10,3,4,8.44
31802.1881,8044508.893,2.96E+10,2,4,8.72
24832.36535,8185809.17,6.65E+10,2,5,9.9
10295.15728,9685062.814,1.66E+09,3,3,8.05
23641.41618,1.00E+07,2.47E+10,3,4,9.23
24216.57001,1.03E+07,4.99E+10,3,5,9.73
20001.67955,1.09E+07,8.48E+10,2,5,8.53
23263.72667,1.13E+07,6.08E+10,3,5,9.01
