A,B,C,n,m,f
76141.29064,7.09E+07,2.73E+12,3,6,8.19
38807.00196,4.19E+07,7.90E+11,3,6,8.53
73949.12984,5.41E+07,7.57E+11,2,6,8
121868.9497,373084411.5,3.80E+12,2,5,8.28
93895.83899,7.84E+07,1.69E+12,3,5,8.25
24568.73937,6.76E+06,5.75E+10,2,5,9.8
23270.57797,2.43E+07,8.56E+10,2,4,9.01
23263.72667,1.13E+07,6.08E+10,3,5,9.01
6390.489795,4336479.613,1.84E+09,2,3,8.3
19236.62949,7575875.068,3.88E+10,3,4,8.44
31802.1881,8044508.893,29601229358,2,4,8.72
9375.098407,2395655.112,5028251032,2,4,8.02
5162.825818,5265077.855,1204066318,4,2,8.44
20001.67955,10896759.1,84767436846,2,5,8.53
92661.28281,57684756.95,3.05E+11,2,5,8.25
11392.08334,3806839.023,12469381448,2,4,8.09
7313.209614,1328073.737,3382287141,3,4,8.22
25969.55202,5116920.015,41514006402,2,6,9.36
24832.36535,8185809.17,66502418875,2,5,9.9
13479.88433,1900173.924,8680458462,2,4,8.22
10295.15728,9685062.814,1657038513,3,3,8.05
22964.91813,5800897.409,39673800612,3,6,9
27601.36876,7175188.828,45100419484,2,4,9
8005.521456,2557356.865,625098021.1,2,4,8.17
3579.030289,2037449.995,362522387.2,3,3,8.66
3341.037735,1156612.062,249101937.1,2,2,8.69
24216.57001,10339472.17,49906663978,3,5,9.73
14862.08246,1565232.561,9310355518,2,5,8.25
60734.17387,67889501.83,2.76E+11,2,4,8.25
32333.0245,4418840.087,30247612534,4,8,8.7
23329.05689,5732948.21,19479601808,2,5,9.01
31243.48179,6581131.296,54890022493,2,6,8.75
13802.73521,4049414.298,10982269025,2,4,8.25
53494.09135,15356896.32,38773904212,2,4,8.28
22479.42562,3512157.207,9366179121,2,5,8.8
11727.0201,2706333.548,6320917891,2,4,8.1
20609.07428,2132564.227,11059099373,2,5,8.75
26292.27312,2661049.944,26746198114,2,4,9.04
13549.1607,3375147.09,11186394450,2,4,8.22
11791.84454,1020487.377,4094335994,2,4,8.12
8552.024052,2017986.719,199586403.7,2,3,8.12
23810.07311,3442265.297,26672826643,2,6,9.23
23641.41618,10000544.65,24651352576,3,4,9.23
17705.90405,2095136.483,10155538597,3,6,8.35
20671.62684,3150633.61,20281488829,2,5,8.75
12638.29496,5767864.651,9903103756,5,4,8.17
7976.422888,1183114.501,3106175787,3,4,8.17
9593.787707,1866340.325,4755346869,2,4,8
61318.76875,22173393.06,1.61E+11,2,6,8.25
22264.80511,2081201.537,13687662093,2,6,8.8
