x_synthetic,y_synthetic
-2580747.363716384,3.093386391403217e-11
-2485298.988179321,4.241691528820622e-11
-2389850.612642258,5.771154168233033e-11
-2294402.2371051945,7.792020739672276e-11
-2198953.8615681315,1.0441160438354892e-10
-2103505.4860310685,1.3886996162328463e-10
-2008057.1104940055,1.8334982381975886e-10
-1912608.7349569423,2.4033613416100086e-10
-1817160.359419879,3.1280927778314244e-10
-1721711.983882816,4.0431454318782394e-10
-1626263.608345753,5.190352367927836e-10
-1530815.2328086898,6.618684376517698e-10
-1435366.8572716268,8.385020996219495e-10
-1339918.4817345636,1.055491889533674e-09
-1244470.1061975006,1.3203357840779386e-09
-1149021.7306604374,1.6415440279730029e-09
-1053573.3551233744,2.028701577724681e-09
-958124.9795863114,2.492519621605754e-09
-862676.6040492482,3.0448721896673192e-09
-767228.2285121852,3.698813272654976e-09
-671779.8529751219,4.468569295537921e-09
-576331.4774380589,5.369501295644541e-09
-480883.1019009957,6.418030807554891e-09
-385434.7263639327,7.631523338797648e-09
-289986.3508268697,9.028123519651612e-09
-194537.97528980672,1.0626536612380852e-08
-99089.59975274326,1.2445752143604637e-08
-3641.2242156802677,1.4504707029378882e-08
91807.15132138273,1.6821887714340432e-08
187255.52685844572,1.941487352064221e-08
282703.9023955092,2.2299826528097933e-08
378152.2779325722,2.5490936762096446e-08
473600.6534696352,2.899983507986864e-08
569049.0290066982,3.283498970598704e-08
664497.4045437612,3.700110563127479e-08
759945.7800808246,4.14985487971124e-08
855394.1556178876,4.632281888435848e-08
950842.5311549506,5.14640953814375e-08
1046290.9066920136,5.6906881232817554e-08
1141739.282229077,6.262976664436844e-08
1237187.65776614,6.860533250391593e-08
1332636.033303203,7.48002084147677e-08
1428084.408840266,8.117529468799931e-08
1523532.784377329,8.768615104655543e-08
1618981.1599143925,9.428354760344186e-08
1714429.5354514555,1.0091416630607486e-07
1809877.9109885185,1.0752143395931654e-07
1905326.2865255815,1.1404646164027915e-07
2000774.6620626445,1.2042906026891613e-07
2096223.0375997075,1.2660879870868245e-07
2191671.4131367705,1.3252606934616115e-07
2287119.7886738344,1.38123126800148e-07
2382568.1642108974,1.4334506822991658e-07
2478016.5397479604,1.481407284521626e-07
2573464.9152850234,1.524634693538009e-07
2668913.2908220864,1.5627185035791618e-07
2764361.6663591494,1.5953017429813301e-07
2859810.0418962124,1.6220891026104143e-07
2955258.4174332754,1.6428500106433673e-07
3050706.7929703384,1.6574206744703125e-07
3146155.1685074023,1.6657052333073162e-07
3241603.5440444653,1.6676761647902618e-07
3337051.9195815283,1.6633740662230913e-07
3432500.2951185913,1.652906889956008e-07
3527948.6706556543,1.6364486587586965e-07
3623397.0461927173,1.6142376290833223e-07
3718845.4217297803,1.5865738167759337e-07
3814293.7972668433,1.5538157599177862e-07
3909742.1728039063,1.5163763745689537e-07
4005190.54834097,1.4747177663962904e-07
4100638.923878033,1.4293448965049645e-07
4196087.299415097,1.3807980617107052e-07
4291535.674952159,1.3296442329157084e-07
4386984.050489223,1.276467392071212e-07
4482432.426026285,1.221858108156776e-07
4577880.801563349,1.1664026844482026e-07
4673329.177100411,1.110672282217599e-07
4768777.552637475,1.0552124707261963e-07
4864225.928174539,1.0005336635478947e-07
4959674.303711601,9.471028740986151e-08
5055122.6792486645,8.953371598774432e-08
5150571.054785727,8.455990302972357e-08
5246019.4303227905,7.981939752814682e-08
5341467.805859853,7.533701415126962e-08
