A,B,main_number,secondary_number,frequency,Data_Type
11791.84454,1020487.377,2,4,8.12,Real Data
3341.037735,1156612.062,2,2,8.69,Real Data
7976.422888,1183114.501,3,4,8.17,Real Data
7313.209614,1328073.737,3,4,8.22,Real Data
14862.08246,1565232.561,2,5,8.25,Real Data
9593.787707,1866340.325,2,4,8.0,Real Data
13479.88433,1900173.924,2,4,8.22,Real Data
8552.024052,2017986.719,2,3,8.12,Real Data
3579.030289,2037449.995,3,3,8.66,Real Data
22264.80511,2081201.537,2,6,8.8,Real Data
17705.90405,2095136.483,3,6,8.35,Real Data
20609.07428,2132564.227,2,5,8.75,Real Data
9375.098407,2395655.112,2,4,8.02,Real Data
8005.521456,2557356.865,2,4,8.17,Real Data
26292.27312,2661049.944,2,4,9.04,Real Data
11727.0201,2706333.548,2,4,8.1,Real Data
20671.62684,3150633.61,2,5,8.75,Real Data
13549.1607,3375147.09,2,4,8.22,Real Data
23810.07311,3442265.297,2,6,9.23,Real Data
22479.42562,3512157.207,2,5,8.8,Real Data
11392.08334,3806839.023,2,4,8.09,Real Data
13802.73521,4049414.298,2,4,8.25,Real Data
6390.489795,4336479.613,2,3,8.3,Real Data
32333.0245,4418840.087,4,8,8.7,Real Data
25969.55202,5116920.015,2,6,9.36,Real Data
5162.825818,5265077.855,4,2,8.44,Real Data
23329.05689,5732948.21,2,5,9.01,Real Data
12638.29496,5767864.651,5,4,8.17,Real Data
22964.91813,5800897.409,3,6,9.0,Real Data
31243.48179,6581131.296,2,6,8.75,Real Data
24568.73937,6760000.0,2,5,9.8,Real Data
27601.36876,7175188.828,2,4,9.0,Real Data
19236.62949,7575875.068,3,4,8.44,Real Data
31802.1881,8044508.893,2,4,8.72,Real Data
24832.36535,8185809.17,2,5,9.9,Real Data
10295.15728,9685062.814,3,3,8.05,Real Data
23641.41618,10000544.65,3,4,9.23,Real Data
24216.57001,10339472.17,3,5,9.73,Real Data
20001.67955,10896759.1,2,5,8.53,Real Data
23263.72667,11300000.0,3,5,9.01,Real Data
13549.785445934325,3850827.3945343127,3,6,8.573443009677279,Synthetic Data
21690.733675207186,2236575.2070228527,2,6,8.91772868066471,Synthetic Data
26526.697808784,10875216.349881537,2,5,8.872937306603403,Synthetic Data
18890.181538106208,8144571.024479132,2,4,8.656589853592303,Synthetic Data
17599.72109603895,3362811.381184978,2,5,8.764493886559112,Synthetic Data
16235.598877091483,3886639.518093173,2,5,8.225385935186937,Synthetic Data
17587.57785841846,3453552.458156704,2,4,8.364997270056254,Synthetic Data
12587.338232622993,2146364.685900381,2,4,8.318974681406317,Synthetic Data
23247.129457037,9648652.082359172,2,5,9.309308783612277,Synthetic Data
13354.333943174139,2841549.095469515,2,5,8.240028622560542,Synthetic Data
32316.255776470436,3282829.3511757003,4,8,8.728423128011041,Synthetic Data
3538.1987119472415,3741353.7774556596,3,3,8.660422470222898,Synthetic Data
20339.0679746807,4034281.366996684,2,5,8.658840867103049,Synthetic Data
19281.399434110288,8018980.095111321,2,5,9.273551096669475,Synthetic Data
8446.575508224672,4795702.716111053,2,4,8.22078130615497,Synthetic Data
20072.760038809523,9924410.525393944,3,6,9.011626082454931,Synthetic Data
19678.63523713638,9146966.225500204,3,4,9.045051706608156,Synthetic Data
22873.89287672537,4477285.631437745,4,8,8.635525621353462,Synthetic Data
20658.63905274084,8295995.671398129,3,4,9.017628868910315,Synthetic Data
16212.57226749916,3322902.265731601,2,4,8.104898823516884,Synthetic Data
13764.63211293998,2746484.3543218467,2,4,8.235182897502058,Synthetic Data
17015.19968286205,3686264.8207269274,3,4,8.936706339987255,Synthetic Data
13418.858307692564,4241085.3977128165,5,4,8.021832665429837,Synthetic Data
31504.62166717187,11481258.083026385,2,5,9.626590790309463,Synthetic Data
10579.113967980235,1910659.0637202128,2,4,8.675436719679203,Synthetic Data
12744.414158478427,2023078.6967219848,2,4,8.374415854994764,Synthetic Data
8829.828327194055,2313424.306502682,2,4,8.348781898527355,Synthetic Data
14066.890045701342,3151356.7403869443,2,5,8.686218877940266,Synthetic Data
10922.800894859916,1441749.1370193053,2,4,8.431018095964006,Synthetic Data
15026.616712140685,2141544.8171649473,2,3,8.480145176857944,Synthetic Data
20405.768630914084,3799922.388023938,2,6,9.065413898764648,Synthetic Data
24319.490943078777,4575977.215962757,2,6,9.314602693459909,Synthetic Data
25632.736360026902,2769005.1787699666,2,6,9.188945274360862,Synthetic Data
5554.322937382698,7613205.270203861,3,3,8.36011707375732,Synthetic Data
21202.36064533921,4900512.322827118,3,4,8.41097176326925,Synthetic Data
4395.781562877992,1784069.3186788484,2,4,8.086665287138647,Synthetic Data
2477.553290044727,2097357.484267217,4,2,8.642125463825698,Synthetic Data
28116.030746456163,7098180.511401932,4,8,8.632765464088497,Synthetic Data
16084.447921830571,4699391.815401375,2,4,8.698189134564368,Synthetic Data
8506.240451698195,3925461.506841038,5,4,8.030891077223528,Synthetic Data
8806.765514914947,2590135.9298287197,2,4,8.139550162525135,Synthetic Data
17567.895411275094,3290227.3343197154,2,6,9.051194532267504,Synthetic Data
16931.162222023675,11721662.551271945,3,4,8.209544714663142,Synthetic Data
500.3423364526425,4136179.0868433025,4,2,8.634904263025687,Synthetic Data
26571.508474007467,9367206.135877647,3,5,9.047300648961082,Synthetic Data
16256.30183302566,8308168.1246314645,2,4,8.266640062815542,Synthetic Data
16022.8811224456,7358122.361307852,3,4,8.452777596356945,Synthetic Data
23972.571043377924,10291481.2578524,2,6,9.325552935315574,Synthetic Data
31490.96669403569,4830615.40177951,4,8,8.646846692335131,Synthetic Data
31969.304776474895,12029598.297576213,2,5,10.008363047230436,Synthetic Data
24245.55339405427,4000079.3153295685,2,6,8.486767150306727,Synthetic Data
32576.491379803898,13458992.76062131,3,6,9.227257033936686,Synthetic Data
12899.314035589952,2887911.0964394426,2,4,8.312404218049874,Synthetic Data
24101.037127831492,11925337.028275834,3,6,9.46035472939995,Synthetic Data
7172.197198619993,2731809.333634842,2,6,8.204978899825178,Synthetic Data
32358.23923052998,11134944.997442504,2,5,9.889110044069295,Synthetic Data
24962.490021682403,6625449.329310313,2,3,8.692378801360356,Synthetic Data
25518.87040610274,3761476.946271536,3,6,9.615487130484057,Synthetic Data
27006.810551788803,5601198.353467463,4,8,8.781326395032234,Synthetic Data
12806.561780163793,11516866.216515914,3,3,8.810655912980836,Synthetic Data
9346.77888331395,10511968.613893235,3,3,8.412840745593973,Synthetic Data
7678.10180476272,3486883.385551829,3,6,8.21335251611014,Synthetic Data
21340.74626597174,3850147.1649950454,3,3,8.650997553541918,Synthetic Data
8270.787895693737,2549588.342145465,3,4,8.26581487113346,Synthetic Data
25873.522616570244,9520974.179093411,2,5,9.205977075200048,Synthetic Data
10187.884409365644,3784496.817935746,2,4,8.105100730543574,Synthetic Data
33051.810789890005,2622590.6169449007,4,8,8.661640714098194,Synthetic Data
27672.90208513991,5267743.699820358,2,5,9.875161405311683,Synthetic Data
14235.04277885758,2621936.302665192,2,5,8.86761539910348,Synthetic Data
13436.434833611977,3514912.0126397135,2,4,8.337215469192452,Synthetic Data
18196.32296919071,9551407.185582403,2,3,8.638048378351682,Synthetic Data
22102.608970073154,9223898.409245094,2,5,9.529029571251023,Synthetic Data
23204.737811609688,10193152.439787967,3,5,9.263746479212426,Synthetic Data
18699.920625935134,7627243.206145911,2,5,9.317628228620947,Synthetic Data
12530.258501145358,4508724.220688516,2,2,8.275597590827203,Synthetic Data
10422.010829366951,2858140.454886451,3,5,8.6550208906268,Synthetic Data
17609.45752315866,2729056.893545022,2,4,9.017853871272228,Synthetic Data
12832.68845741171,2274380.7676003827,2,3,8.201741318385938,Synthetic Data
19506.955050243647,9398387.88015947,2,4,8.368313863614306,Synthetic Data
21448.58921048179,8678098.06440994,3,6,9.05844114798331,Synthetic Data
23128.342367420668,4002214.3072905913,2,5,9.35079836936536,Synthetic Data
24490.470158485783,9479400.965886138,3,6,9.238228170119777,Synthetic Data
19591.730080082496,8370222.189028014,3,5,9.42432176121623,Synthetic Data
26195.982134499478,9804630.900363155,2,5,9.351966989707424,Synthetic Data
1642.2557440259006,4048340.8768542577,4,2,8.549485004233269,Synthetic Data
27836.557667090143,4314356.8244808195,2,6,9.171771903792997,Synthetic Data
10621.924981443723,6034587.48994115,5,4,8.240012532059279,Synthetic Data
18087.386715688317,1483135.7514464094,2,4,8.41897259505248,Synthetic Data
20273.856973968628,3750272.5753849763,2,5,8.872675378528372,Synthetic Data
29131.247384778304,12080016.32722487,2,5,9.845839475797925,Synthetic Data
17970.751134739614,8959555.407442525,2,4,8.15708089439802,Synthetic Data
21903.66232872642,7814985.968267811,3,5,9.098872433006477,Synthetic Data
17904.34678170444,6926945.165622254,5,4,8.23566835821055,Synthetic Data
11840.038484479996,3163413.4569504983,2,4,8.260070448868973,Synthetic Data
1890.1464741368927,6201452.222734291,4,2,8.589805446967858,Synthetic Data
