A,B,main_number,secondary_number,frequency
19135.831718254838,7441702.047464889,3,3,8.867002572456778
5479.785477654988,1337038.7764479965,3,6,8.816791571300113
9662.050081931146,3542545.889603827,2,5,8.059730870698722
10490.384225824024,2182839.40637628,2,4,8.129569489460458
19730.59467329554,2468138.3697203356,2,5,8.713204927028317
4702.773588587222,5164545.222679,4,2,8.362236208092849
15086.29815086972,2180970.304292253,2,6,8.166448113634043
34819.01029430233,4440531.487990188,4,8,8.478233832545431
10368.868040795352,2179517.4664708357,2,4,8.128335570220608
25926.803739521685,4721878.082163205,2,6,8.760359604286073
10532.363845632673,2488336.6074384456,2,4,8.084458834687412
2912.59614723931,1423814.7957296083,3,4,8.173214379000006
12484.177904652204,2544333.844705969,2,4,8.104768150081712
22688.753111660895,10819232.567833662,2,5,9.234333016152545
6584.422305080924,2658206.864438898,2,3,8.127396137694525
12963.942119218364,7276065.153161395,2,3,8.177617919759868
33956.4967558241,8489640.945873829,4,8,8.73524476684384
5226.447407922662,907894.3426186277,2,2,8.125622597509878
16920.701606789433,3416835.4046347304,4,8,7.97609142556081
12504.824445439448,4775415.180656562,5,4,8.200667435355099
4613.043528762533,3941117.7701727757,3,5,8.18709861160786
4600.638384418421,5906339.274895848,3,4,8.237080305520218
28345.689151827355,5059541.0459126225,2,4,9.278502132422886
10699.822264800761,4244140.8420580495,2,3,7.993410523778611
23775.119848977658,12667417.26493799,3,5,9.364083871676383
7350.94267748938,2433101.9458792885,2,6,8.622107772752354
24994.76907366436,8735698.57333384,2,6,8.64368394327385
15707.927900549568,8615475.355432773,3,4,8.369140088528436
10876.71847159557,2449150.9383890866,2,6,8.139437764259181
7988.490910594679,2414791.7661640467,2,2,8.216230884852878
2454.4262073455975,3873812.5101179415,3,4,8.237322983050365
6699.715114987814,856172.2833355884,2,2,8.228384755026186
11172.769567973291,2740550.6992133255,2,4,8.156830085353725
26152.726513573383,7899600.670782022,2,5,9.42895382730924
20455.696212787625,10027498.613992821,2,5,9.342692399915384
12775.684482453358,1953608.333972706,2,6,8.176785179568618
17060.00046164552,2732084.327938203,2,5,8.987057190568054
20174.405309264876,3226637.375174366,2,6,8.812125143306465
14034.312256417103,5047280.542070043,5,4,8.175513306412595
25509.65524411155,8729314.025884496,2,6,8.758845881779575
26384.525667090922,4769231.875742224,4,8,9.109576545601755
22489.418276855416,2368973.796578899,2,6,8.780056626374856
11920.699368961225,2558979.6421389813,2,4,8.068280255733995
21418.13834537322,8254070.12612096,2,4,8.925821346761165
34729.052926610726,6275429.253236524,4,8,8.842151954033378
11259.648628061483,2139157.597855668,2,4,8.147749892169786
29844.574460965705,3646195.986090862,4,8,9.285811815838976
8263.196149246529,1005477.4745318377,3,2,8.17136067349152
11889.320105122335,3002560.192009191,2,5,7.993515057225709
7924.916468645573,2568982.452302867,2,6,8.157725721827939
9248.602242741212,6836692.019754261,3,3,8.271830125210844
6861.543239638997,6270284.6904587615,4,2,8.429409491819158
21526.242052489433,2252025.6932160677,2,6,8.88342318693375
22373.729001408825,8129718.095624735,2,3,8.19107857009285
3935.8398110687867,1929517.416023258,2,3,8.227337552956051
7395.829499298994,1794659.6283398787,2,4,8.105751860931484
13264.668378733246,6357545.722969402,5,4,8.1168658933005
34068.2895685586,5732845.0129217375,2,6,8.854878819872063
5973.165141447966,1412942.2305151047,2,2,8.22402835659418
7228.746322714907,1870118.5478222752,3,4,8.198648122032308
10339.642658806468,2679431.1481193546,2,4,8.108829703187574
9326.672676119088,2559845.590434327,2,4,8.132474517648346
3646.6151867455083,3237993.122597861,4,2,8.297014863146304
21998.725870365917,7934143.592679121,2,6,9.561296436234796
7099.347745892621,5881516.215407301,4,2,8.2697325300862
7947.550131359392,3425925.91231515,2,5,8.193309037062898
6795.11555466985,3105785.2417074386,2,2,8.30161345200948
5503.287825214893,2672984.0391934146,2,3,8.064239279559045
26339.445477811776,4624279.883332379,2,3,8.823574784460389
10704.492247021168,2296391.1684248974,2,4,8.185053021169196
3923.0266027659873,1599739.5346877596,2,2,8.305480522755671
9865.855756694853,2307778.460807528,2,4,8.067832765194407
10428.314042357184,2257386.0177762504,2,4,8.147005796218016
26927.06015105057,4069957.205542336,5,4,8.887102518898777
17550.710813846992,2230583.6498546344,3,6,8.787210473100583
15354.736660802586,9545254.152553264,3,5,8.377470233619533
7706.309769302826,1710740.564135557,2,5,8.137430994125646
21437.33016272112,8598432.396313135,3,5,9.835954611275495
20756.04910764822,1907802.0609126238,2,6,8.839954994831906
6563.05641803771,566268.6879950082,2,2,8.308334334360753
24825.503435926505,3994794.435984824,3,5,8.837376102171671
8956.169829775148,820034.1948470296,2,2,8.24098621673219
27135.494548383034,2435457.84785996,2,6,8.780954018986996
10121.42439802963,2481890.236255775,2,5,8.250731714194348
22353.9514949065,3586913.6518167937,2,5,9.31879828326529
8706.485855287545,1612085.172706252,3,2,8.296643488409194
10628.289507426984,3299958.4917189716,3,4,8.218119677533766
26068.237540801987,4089192.9325447185,2,6,8.91251573420971
8120.6694498412835,1504755.678882529,3,4,8.22037252186888
7999.82461998967,1600463.1723063407,3,4,8.216389546093541
14184.308021788698,3086005.1528785424,5,4,8.325548767793542
22755.877434985057,8520402.056293111,3,4,8.980947583058848
34318.07593350786,9414511.960684935,4,8,8.382874776074125
11215.762898238476,6539571.649221303,5,4,8.734589422691666
13091.554615048697,5193195.649869883,5,4,8.117205173585623
12462.011485853385,2036468.3529582182,2,6,8.13158003120693
28987.731206667373,7073872.669789159,4,8,8.471575755912102
5535.136469429301,2218610.703665909,2,3,8.465364454346489
26780.734741248933,8348927.516826,2,6,8.98198169314746
17650.477195542222,3346667.378914913,2,6,8.660187091169265
13185.16747821642,1991569.7401979615,2,5,8.082094152913042
23584.337512885737,5916502.106155332,2,4,8.873413028940432
19943.748792876853,6599047.158998546,5,4,9.008460955730198
23037.93751555711,11373326.136884227,2,5,9.073824384452076
24297.24974297227,7572461.156965304,2,4,8.785337425170676
20139.797564528846,6977379.427511479,3,4,9.088302130860203
12472.776683104885,5158807.717759128,5,4,8.151318788125389
25527.878413615545,5879318.743967654,4,2,8.317314957129746
9561.780702143085,2888157.752950915,2,4,9.194047152676061
22599.360227741407,12922520.590961069,2,5,8.829109439253255
10838.613736873163,2018658.4926795207,2,5,8.074215579123074
25817.29732265322,6885810.543788076,2,6,8.796822134648563
4392.790686591675,10340252.374884924,3,5,8.313266293292969
11153.632222895036,3354138.8118467825,5,4,8.130509214647217
9935.967981471083,1891328.7553611419,5,4,8.01080142691157
24458.550218511264,7334231.993060099,2,5,9.315287346321172
23224.465701455134,2392202.0602567024,3,6,8.5524251055469
4838.6934974906535,2353007.336330884,2,3,8.433762917489558
22178.28162140923,7228927.547290127,5,4,9.040012120888317
7037.527124381666,1931948.5456851611,2,3,8.056489633101819
10795.453148455279,2934748.4831847493,2,4,8.131172659911844
10599.428770009557,2204050.927098167,2,4,8.113440963726605
7161.6484300816755,4254835.0614518635,4,2,8.304060125931207
8417.55862626819,3027217.5787510006,2,4,8.147419424680795
20014.493873892836,6358367.138491488,2,3,8.599250806925607
10393.424750815007,2667090.6803658623,2,5,8.099883651642788
11790.602490019059,2304225.1867449405,2,4,8.16964071597297
28427.282135329144,4735998.72515323,4,8,9.086403361242866
32165.605551106495,11023581.17686309,4,8,8.78903309677322
25367.827618573967,5266716.492640873,5,4,8.901986512955327
7788.757489810323,2581730.13958648,2,3,8.090701319882914
8709.45254436102,1983528.4861046867,2,2,8.315120049717635
9527.50397055146,1739862.8321662736,2,4,8.10077657173129
4549.162504729282,916628.9868564177,2,2,8.217322235058132
24982.913968094086,2450551.0644538696,2,6,8.890890543126629
21173.821496951157,7621762.4748758655,5,4,8.919990936854266
9843.454594296763,3088936.4724774393,2,4,8.149130745617917
25177.638542483714,4801388.039196084,4,8,9.432272928057575
4537.871738190676,339944.0437324047,2,2,8.211250039217255
12233.879804589076,2286540.7280672607,2,6,8.148854927357696
10240.293829781755,2065844.109576473,2,4,8.14654414667248
9303.881342619137,1777451.028826151,2,4,8.209465359378001
32153.214597792783,1371251.8314169152,2,6,8.812966487162326
11976.487480557253,3143604.6652442347,2,4,8.137452341867071
3578.2723785692006,4057330.2794442335,4,2,8.22689600885612
5409.599758636984,1015767.1635436574,3,2,8.153090566163009
30101.21384467458,4857924.217214281,4,8,8.62221566934086
28490.839117494776,6087322.718515443,4,8,8.971233169172613
7465.039710445078,1539583.8894405118,2,2,8.155344684031562
