A,B,main_number,secondary_number,frequency
19135.83172,7441702.047,3,3,8.867002572
5479.785478,1337038.776,3,6,8.816791571
9662.050082,3542545.89,2,5,8.059730871
10490.38423,2182839.406,2,4,8.129569489
19730.59467,2468138.37,2,5,8.713204927
4702.773589,5164545.223,4,2,8.362236208
15086.29815,2180970.304,2,6,8.166448114
34819.01029,4440531.488,4,8,8.478233833
10368.86804,2179517.466,2,4,8.12833557
25926.80374,4721878.082,2,6,8.760359604
10532.36385,2488336.607,2,4,8.084458835
2912.596147,1423814.796,3,4,8.173214379
12484.1779,2544333.845,2,4,8.10476815
22688.75311,10819232.57,2,5,9.234333016
6584.422305,2658206.864,2,3,8.127396138
12963.94212,7276065.153,2,3,8.17761792
33956.49676,8489640.946,4,8,8.735244767
5226.447408,907894.3426,2,2,8.125622598
16920.70161,3416835.405,4,8,7.976091426
12504.82445,4775415.181,5,4,8.200667435
4613.043529,3941117.77,3,5,8.187098612
4600.638384,5906339.275,3,4,8.237080306
28345.68915,5059541.046,2,4,9.278502132
10699.82226,4244140.842,2,3,7.993410524
23775.11985,12667417.26,3,5,9.364083872
7350.942677,2433101.946,2,6,8.622107773
24994.76907,8735698.573,2,6,8.643683943
15707.9279,8615475.355,3,4,8.369140089
10876.71847,2449150.938,2,6,8.139437764
7988.490911,2414791.766,2,2,8.216230885
2454.426207,3873812.51,3,4,8.237322983
6699.715115,856172.2833,2,2,8.228384755
11172.76957,2740550.699,2,4,8.156830085
26152.72651,7899600.671,2,5,9.428953827
20455.69621,10027498.61,2,5,9.3426924
12775.68448,1953608.334,2,6,8.17678518
17060.00046,2732084.328,2,5,8.987057191
20174.40531,3226637.375,2,6,8.812125143
14034.31226,5047280.542,5,4,8.175513306
25509.65524,8729314.026,2,6,8.758845882
26384.52567,4769231.876,4,8,9.109576546
22489.41828,2368973.797,2,6,8.780056626
11920.69937,2558979.642,2,4,8.068280256
21418.13835,8254070.126,2,4,8.925821347
34729.05293,6275429.253,4,8,8.842151954
11259.64863,2139157.598,2,4,8.147749892
29844.57446,3646195.986,4,8,9.285811816
8263.196149,1005477.475,3,2,8.171360673
11889.32011,3002560.192,2,5,7.993515057
7924.916469,2568982.452,2,6,8.157725722
9248.602243,6836692.02,3,3,8.271830125
6861.54324,6270284.69,4,2,8.429409492
21526.24205,2252025.693,2,6,8.883423187
22373.729,8129718.096,2,3,8.19107857
3935.839811,1929517.416,2,3,8.227337553
7395.829499,1794659.628,2,4,8.105751861
13264.66838,6357545.723,5,4,8.116865893
34068.28957,5732845.013,2,6,8.85487882
5973.165141,1412942.231,2,2,8.224028357
7228.746323,1870118.548,3,4,8.198648122
10339.64266,2679431.148,2,4,8.108829703
9326.672676,2559845.59,2,4,8.132474518
3646.615187,3237993.123,4,2,8.297014863
21998.72587,7934143.593,2,6,9.561296436
7099.347746,5881516.215,4,2,8.26973253
7947.550131,3425925.912,2,5,8.193309037
6795.115555,3105785.242,2,2,8.301613452
5503.287825,2672984.039,2,3,8.06423928
26339.44548,4624279.883,2,3,8.823574784
10704.49225,2296391.168,2,4,8.185053021
3923.026603,1599739.535,2,2,8.305480523
9865.855757,2307778.461,2,4,8.067832765
10428.31404,2257386.018,2,4,8.147005796
26927.06015,4069957.206,5,4,8.887102519
17550.71081,2230583.65,3,6,8.787210473
15354.73666,9545254.153,3,5,8.377470234
7706.309769,1710740.564,2,5,8.137430994
21437.33016,8598432.396,3,5,9.835954611
20756.04911,1907802.061,2,6,8.839954995
6563.056418,566268.688,2,2,8.308334334
24825.50344,3994794.436,3,5,8.837376102
8956.16983,820034.1948,2,2,8.240986217
27135.49455,2435457.848,2,6,8.780954019
10121.4244,2481890.236,2,5,8.250731714
22353.95149,3586913.652,2,5,9.318798283
8706.485855,1612085.173,3,2,8.296643488
10628.28951,3299958.492,3,4,8.218119678
26068.23754,4089192.933,2,6,8.912515734
