A,B,main_number,secondary_number,frequency,Data_Type
7976.422888,1156612.062,2,2,8.17,Real Data
13479.88433,1900173.924,2,4,8.22,Real Data
7976.422888,1183114.501,3,2,8.17,Real Data
17705.90405,2095136.483,3,6,8.35,Real Data
7976.422888,1183114.501,3,2,8.17,Real Data
13549.1607,3375147.09,2,5,8.22,Real Data
9593.787707,1866340.325,2,4,8.0,Real Data
22264.80511,2081201.537,2,3,8.8,Real Data
12638.29496,5767864.651,5,4,8.17,Real Data
8005.521456,2557356.865,2,4,8.17,Real Data
11791.84454,1020487.377,2,4,8.12,Real Data
32333.0245,4336479.613,2,3,8.7,Real Data
13479.88433,1900173.924,2,4,8.22,Real Data
11392.08334,3806839.023,2,5,8.09,Real Data
24568.73937,6760000.0,2,6,9.8,Real Data
7976.422888,1183114.501,3,2,8.17,Real Data
11392.08334,3806839.023,2,4,8.09,Real Data
27601.36876,7175188.828,2,5,9.0,Real Data
8552.024052,1900173.924,2,4,8.12,Real Data
22479.42562,3512157.207,2,6,8.8,Real Data
22964.91813,5767864.651,5,4,9.0,Real Data
3579.030289,2017986.719,2,3,8.66,Real Data
8005.521456,2557356.865,2,4,8.17,Real Data
9593.787707,1866340.325,2,4,8.0,Real Data
7313.209614,1328073.737,3,4,8.22,Real Data
26292.27312,2661049.944,2,4,9.04,Real Data
9593.787707,1866340.325,2,5,8.0,Real Data
14862.08246,1565232.561,2,5,8.25,Real Data
13549.1607,3375147.09,2,5,8.22,Real Data
11392.08334,3806839.023,2,5,8.09,Real Data
9375.098407,2395655.112,2,5,8.02,Real Data
25969.55202,5116920.015,4,8,9.36,Real Data
20609.07428,2095136.483,3,6,8.75,Real Data
14862.08246,1565232.561,2,4,8.25,Real Data
20609.07428,2095136.483,3,6,8.75,Real Data
13802.73521,4049414.298,2,4,8.25,Real Data
11727.0201,2661049.944,2,4,8.1,Real Data
23810.07311,3375147.09,2,4,9.23,Real Data
17705.90405,2081201.537,2,6,8.35,Real Data
19236.62949,7575875.068,2,4,8.44,Real Data
11791.84454,1020487.377,2,4,8.12,Real Data
3341.037735,1156612.062,2,2,8.69,Real Data
7976.422888,1183114.501,3,4,8.17,Real Data
7313.209614,1328073.737,3,4,8.22,Real Data
14862.08246,1565232.561,2,5,8.25,Real Data
9593.787707,1866340.325,2,4,8.0,Real Data
13479.88433,1900173.924,2,4,8.22,Real Data
8552.024052,2017986.719,2,3,8.12,Real Data
3579.030289,2037449.995,3,3,8.66,Real Data
22264.80511,2081201.537,2,6,8.8,Real Data
17705.90405,2095136.483,3,6,8.35,Real Data
20609.07428,2132564.227,2,5,8.75,Real Data
9375.098407,2395655.112,2,4,8.02,Real Data
8005.521456,2557356.865,2,4,8.17,Real Data
26292.27312,2661049.944,2,4,9.04,Real Data
11727.0201,2706333.548,2,4,8.1,Real Data
20671.62684,3150633.61,2,5,8.75,Real Data
13549.1607,3375147.09,2,4,8.22,Real Data
23810.07311,3442265.297,2,6,9.23,Real Data
22479.42562,3512157.207,2,5,8.8,Real Data
11392.08334,3806839.023,2,4,8.09,Real Data
13802.73521,4049414.298,2,4,8.25,Real Data
6390.489795,4336479.613,2,3,8.3,Real Data
32333.0245,4418840.087,4,8,8.7,Real Data
25969.55202,5116920.015,2,6,9.36,Real Data
5162.825818,5265077.855,4,2,8.44,Real Data
23329.05689,5732948.21,2,5,9.01,Real Data
12638.29496,5767864.651,5,4,8.17,Real Data
22964.91813,5800897.409,3,6,9.0,Real Data
31243.48179,6581131.296,2,6,8.75,Real Data
24568.73937,6760000.0,2,5,9.8,Real Data
27601.36876,7175188.828,2,4,9.0,Real Data
19236.62949,7575875.068,3,4,8.44,Real Data
31802.1881,8044508.893,2,4,8.72,Real Data
24832.36535,8185809.17,2,5,9.9,Real Data
10295.15728,9685062.814,3,3,8.05,Real Data
23641.41618,10000544.65,3,4,9.23,Real Data
24216.57001,10339472.17,3,5,9.73,Real Data
20001.67955,10896759.1,2,5,8.53,Real Data
23263.72667,11300000.0,3,5,9.01,Real Data
19135.831718254838,7441702.047464889,3,3,8.867002572456778,Synthetic Data
5479.785477654988,1337038.7764479965,3,6,8.816791571300113,Synthetic Data
9662.050081931146,3542545.889603827,2,5,8.059730870698722,Synthetic Data
10490.384225824024,2182839.40637628,2,4,8.129569489460458,Synthetic Data
19730.59467329554,2468138.3697203356,2,5,8.713204927028317,Synthetic Data
4702.773588587222,5164545.222679,4,2,8.362236208092849,Synthetic Data
15086.29815086972,2180970.304292253,2,6,8.166448113634043,Synthetic Data
34819.01029430233,4440531.487990188,4,8,8.478233832545431,Synthetic Data
10368.868040795352,2179517.4664708357,2,4,8.128335570220608,Synthetic Data
25926.803739521685,4721878.082163205,2,6,8.760359604286073,Synthetic Data
10532.363845632673,2488336.6074384456,2,4,8.084458834687412,Synthetic Data
2912.59614723931,1423814.7957296083,3,4,8.173214379000006,Synthetic Data
12484.177904652204,2544333.844705969,2,4,8.104768150081712,Synthetic Data
22688.753111660895,10819232.567833662,2,5,9.234333016152545,Synthetic Data
6584.422305080924,2658206.864438898,2,3,8.127396137694525,Synthetic Data
12963.942119218364,7276065.153161395,2,3,8.177617919759868,Synthetic Data
33956.4967558241,8489640.945873829,4,8,8.73524476684384,Synthetic Data
5226.447407922662,907894.3426186277,2,2,8.125622597509878,Synthetic Data
16920.701606789433,3416835.4046347304,4,8,7.97609142556081,Synthetic Data
12504.824445439448,4775415.180656562,5,4,8.200667435355099,Synthetic Data
4613.043528762533,3941117.7701727757,3,5,8.18709861160786,Synthetic Data
4600.638384418421,5906339.274895848,3,4,8.237080305520218,Synthetic Data
28345.689151827355,5059541.0459126225,2,4,9.278502132422886,Synthetic Data
10699.822264800761,4244140.8420580495,2,3,7.993410523778611,Synthetic Data
23775.119848977658,12667417.26493799,3,5,9.364083871676383,Synthetic Data
7350.94267748938,2433101.9458792885,2,6,8.622107772752354,Synthetic Data
24994.76907366436,8735698.57333384,2,6,8.64368394327385,Synthetic Data
15707.927900549568,8615475.355432773,3,4,8.369140088528436,Synthetic Data
10876.71847159557,2449150.9383890866,2,6,8.139437764259181,Synthetic Data
7988.490910594679,2414791.7661640467,2,2,8.216230884852878,Synthetic Data
2454.4262073455975,3873812.5101179415,3,4,8.237322983050365,Synthetic Data
6699.715114987814,856172.2833355884,2,2,8.228384755026186,Synthetic Data
11172.769567973291,2740550.6992133255,2,4,8.156830085353725,Synthetic Data
26152.726513573383,7899600.670782022,2,5,9.42895382730924,Synthetic Data
20455.696212787625,10027498.613992821,2,5,9.342692399915384,Synthetic Data
12775.684482453358,1953608.333972706,2,6,8.176785179568618,Synthetic Data
17060.00046164552,2732084.327938203,2,5,8.987057190568054,Synthetic Data
20174.405309264876,3226637.375174366,2,6,8.812125143306465,Synthetic Data
14034.312256417103,5047280.542070043,5,4,8.175513306412595,Synthetic Data
25509.65524411155,8729314.025884496,2,6,8.758845881779575,Synthetic Data
26384.525667090922,4769231.875742224,4,8,9.109576545601755,Synthetic Data
22489.418276855416,2368973.796578899,2,6,8.780056626374856,Synthetic Data
11920.699368961225,2558979.6421389813,2,4,8.068280255733995,Synthetic Data
21418.13834537322,8254070.12612096,2,4,8.925821346761165,Synthetic Data
34729.052926610726,6275429.253236524,4,8,8.842151954033378,Synthetic Data
11259.648628061483,2139157.597855668,2,4,8.147749892169786,Synthetic Data
29844.574460965705,3646195.986090862,4,8,9.285811815838976,Synthetic Data
8263.196149246529,1005477.4745318377,3,2,8.17136067349152,Synthetic Data
11889.320105122335,3002560.192009191,2,5,7.993515057225709,Synthetic Data
7924.916468645573,2568982.452302867,2,6,8.157725721827939,Synthetic Data
9248.602242741212,6836692.019754261,3,3,8.271830125210844,Synthetic Data
6861.543239638997,6270284.6904587615,4,2,8.429409491819158,Synthetic Data
21526.242052489433,2252025.6932160677,2,6,8.88342318693375,Synthetic Data
22373.729001408825,8129718.095624735,2,3,8.19107857009285,Synthetic Data
3935.8398110687867,1929517.416023258,2,3,8.227337552956051,Synthetic Data
7395.829499298994,1794659.6283398787,2,4,8.105751860931484,Synthetic Data
13264.668378733246,6357545.722969402,5,4,8.1168658933005,Synthetic Data
34068.2895685586,5732845.0129217375,2,6,8.854878819872063,Synthetic Data
5973.165141447966,1412942.2305151047,2,2,8.22402835659418,Synthetic Data
7228.746322714907,1870118.5478222752,3,4,8.198648122032308,Synthetic Data
10339.642658806468,2679431.1481193546,2,4,8.108829703187574,Synthetic Data
9326.672676119088,2559845.590434327,2,4,8.132474517648346,Synthetic Data
3646.6151867455083,3237993.122597861,4,2,8.297014863146304,Synthetic Data
21998.725870365917,7934143.592679121,2,6,9.561296436234796,Synthetic Data
7099.347745892621,5881516.215407301,4,2,8.2697325300862,Synthetic Data
7947.550131359392,3425925.91231515,2,5,8.193309037062898,Synthetic Data
6795.11555466985,3105785.2417074386,2,2,8.30161345200948,Synthetic Data
5503.287825214893,2672984.0391934146,2,3,8.064239279559045,Synthetic Data
26339.445477811776,4624279.883332379,2,3,8.823574784460389,Synthetic Data
10704.492247021168,2296391.1684248974,2,4,8.185053021169196,Synthetic Data
3923.0266027659873,1599739.5346877596,2,2,8.305480522755671,Synthetic Data
9865.855756694853,2307778.460807528,2,4,8.067832765194407,Synthetic Data
10428.314042357184,2257386.0177762504,2,4,8.147005796218016,Synthetic Data
26927.06015105057,4069957.205542336,5,4,8.887102518898777,Synthetic Data
17550.710813846992,2230583.6498546344,3,6,8.787210473100583,Synthetic Data
15354.736660802586,9545254.152553264,3,5,8.377470233619533,Synthetic Data
7706.309769302826,1710740.564135557,2,5,8.137430994125646,Synthetic Data
21437.33016272112,8598432.396313135,3,5,9.835954611275495,Synthetic Data
20756.04910764822,1907802.0609126238,2,6,8.839954994831906,Synthetic Data
6563.05641803771,566268.6879950082,2,2,8.308334334360753,Synthetic Data
24825.503435926505,3994794.435984824,3,5,8.837376102171671,Synthetic Data
8956.169829775148,820034.1948470296,2,2,8.24098621673219,Synthetic Data
27135.494548383034,2435457.84785996,2,6,8.780954018986996,Synthetic Data
10121.42439802963,2481890.236255775,2,5,8.250731714194348,Synthetic Data
22353.9514949065,3586913.6518167937,2,5,9.31879828326529,Synthetic Data
8706.485855287545,1612085.172706252,3,2,8.296643488409194,Synthetic Data
10628.289507426984,3299958.4917189716,3,4,8.218119677533766,Synthetic Data
26068.237540801987,4089192.9325447185,2,6,8.91251573420971,Synthetic Data
8120.6694498412835,1504755.678882529,3,4,8.22037252186888,Synthetic Data
7999.82461998967,1600463.1723063407,3,4,8.216389546093541,Synthetic Data
14184.308021788698,3086005.1528785424,5,4,8.325548767793542,Synthetic Data
22755.877434985057,8520402.056293111,3,4,8.980947583058848,Synthetic Data
34318.07593350786,9414511.960684935,4,8,8.382874776074125,Synthetic Data
11215.762898238476,6539571.649221303,5,4,8.734589422691666,Synthetic Data
13091.554615048697,5193195.649869883,5,4,8.117205173585623,Synthetic Data
12462.011485853385,2036468.3529582182,2,6,8.13158003120693,Synthetic Data
28987.731206667373,7073872.669789159,4,8,8.471575755912102,Synthetic Data
5535.136469429301,2218610.703665909,2,3,8.465364454346489,Synthetic Data
26780.734741248933,8348927.516826,2,6,8.98198169314746,Synthetic Data
17650.477195542222,3346667.378914913,2,6,8.660187091169265,Synthetic Data
13185.16747821642,1991569.7401979615,2,5,8.082094152913042,Synthetic Data
23584.337512885737,5916502.106155332,2,4,8.873413028940432,Synthetic Data
19943.748792876853,6599047.158998546,5,4,9.008460955730198,Synthetic Data
23037.93751555711,11373326.136884227,2,5,9.073824384452076,Synthetic Data
24297.24974297227,7572461.156965304,2,4,8.785337425170676,Synthetic Data
20139.797564528846,6977379.427511479,3,4,9.088302130860203,Synthetic Data
12472.776683104885,5158807.717759128,5,4,8.151318788125389,Synthetic Data
25527.878413615545,5879318.743967654,4,2,8.317314957129746,Synthetic Data
9561.780702143085,2888157.752950915,2,4,9.194047152676061,Synthetic Data
22599.360227741407,12922520.590961069,2,5,8.829109439253255,Synthetic Data
10838.613736873163,2018658.4926795207,2,5,8.074215579123074,Synthetic Data
25817.29732265322,6885810.543788076,2,6,8.796822134648563,Synthetic Data
4392.790686591675,10340252.374884924,3,5,8.313266293292969,Synthetic Data
11153.632222895036,3354138.8118467825,5,4,8.130509214647217,Synthetic Data
9935.967981471083,1891328.7553611419,5,4,8.01080142691157,Synthetic Data
24458.550218511264,7334231.993060099,2,5,9.315287346321172,Synthetic Data
23224.465701455134,2392202.0602567024,3,6,8.5524251055469,Synthetic Data
4838.6934974906535,2353007.336330884,2,3,8.433762917489558,Synthetic Data
22178.28162140923,7228927.547290127,5,4,9.040012120888317,Synthetic Data
7037.527124381666,1931948.5456851611,2,3,8.056489633101819,Synthetic Data
10795.453148455279,2934748.4831847493,2,4,8.131172659911844,Synthetic Data
10599.428770009557,2204050.927098167,2,4,8.113440963726605,Synthetic Data
7161.6484300816755,4254835.0614518635,4,2,8.304060125931207,Synthetic Data
8417.55862626819,3027217.5787510006,2,4,8.147419424680795,Synthetic Data
20014.493873892836,6358367.138491488,2,3,8.599250806925607,Synthetic Data
10393.424750815007,2667090.6803658623,2,5,8.099883651642788,Synthetic Data
11790.602490019059,2304225.1867449405,2,4,8.16964071597297,Synthetic Data
28427.282135329144,4735998.72515323,4,8,9.086403361242866,Synthetic Data
32165.605551106495,11023581.17686309,4,8,8.78903309677322,Synthetic Data
25367.827618573967,5266716.492640873,5,4,8.901986512955327,Synthetic Data
7788.757489810323,2581730.13958648,2,3,8.090701319882914,Synthetic Data
8709.45254436102,1983528.4861046867,2,2,8.315120049717635,Synthetic Data
9527.50397055146,1739862.8321662736,2,4,8.10077657173129,Synthetic Data
