A,B,main_number,secondary_number,frequency
17688.518012630004,2095981.3695483522,3,6,8.192680794617168
17696.65486356007,2094636.173682593,3,6,8.332132918080255
13474.041984276602,1867322.9050678941,2,4,8.163083088187388
7981.257305220706,1181054.813294919,2,2,8.355126223544165
3584.2414086627373,2038150.655914194,3,3,8.246771556457135
24568.308955373297,6759914.405438164,2,6,9.509229262402677
22259.360935876368,2080998.944616911,2,3,8.35640069855464
20669.839294074995,3152466.11209701,2,5,8.490212346563872
22260.605358403587,2036755.5133047688,3,3,8.587660858106695
11796.790963782441,1023882.6391179035,2,4,8.614989690239085
11390.370271410837,3806939.4311084095,2,4,8.557300955444113
7970.057214405397,1180405.4463773468,3,4,8.08319769169163
31234.951676126668,6582784.359737301,2,6,9.124880525306741
14859.294376491616,1565800.8885428137,2,4,8.426707825508206
17700.547056090883,2095424.9769446745,3,6,8.015816141038092
13482.869135676425,1901017.2455424408,2,4,8.068411638011982
8553.538429676793,2017636.9187842626,2,3,8.358707065108621
9596.40729848668,1867081.9097217014,2,4,8.13116879006647
7306.8793209085725,1330717.426798598,3,4,8.535609131904641
32361.232486896515,4420733.272344043,4,8,8.325267127778176
9376.595073017386,2395424.324630152,2,5,7.769598218549302
26292.455121222327,2661059.005029007,2,4,8.54815789158644
3595.6473621058276,2036557.2046160577,2,3,8.091054302445311
3571.70569412806,2038269.917845974,3,3,8.113762976501441
24569.003740229255,6581551.763024384,2,6,10.022345714280528
17706.580389282768,2095099.9562647352,3,6,8.703449567251598
3395.5918950674836,1152180.3443658252,2,2,8.494244810372376
31255.573659373156,6583062.428888125,2,6,8.43424359196386
6398.147671394092,4337115.735817656,2,4,8.664453845671162
13474.085843519086,1899171.7884424038,2,4,8.002464144914704
11728.079756663681,2660960.1617059708,2,4,8.060201551666774
3575.9780850876896,2037923.8067960571,3,3,7.967304491671673
7310.022351025169,1328902.7789823366,3,4,8.235289807568451
26293.996371212197,2661414.4665106237,2,4,8.830365013621046
22963.864143536164,5800755.728680575,5,4,9.161230824754597
13811.4442483804,4045466.9077686467,2,4,8.194925413254989
26294.585025866658,2661469.451446949,2,4,8.537372174376967
9375.13898412785,2395579.07807044,2,5,8.814335955308444
11795.951660406849,1017220.7695291648,2,4,8.75170950311084
13482.869135676425,1901017.2455424408,2,4,8.068411638011982
13799.537152284123,4046963.7801724016,2,4,8.84335428993402
8014.1600620363315,2396275.1841607722,2,4,8.245568715802786
8006.592539482841,2557297.322113231,2,4,8.369348417282332
11729.8764831085,2705977.427326572,2,4,8.479629967592928
14859.303461993582,1565561.2633852838,3,4,7.824742779066556
14859.294376491616,1565800.8885428137,2,4,8.426707825508206
8009.463904710077,2557523.354289534,2,4,8.626027987189165
5160.629375004419,5118544.84207625,2,6,8.46665464148345
13480.735345968471,1900578.6500605147,2,4,8.080588798619138
17696.21733804487,2081480.5243778452,2,6,8.449711450903477
17691.414394359257,2094352.8920873054,3,6,8.590702942932369
13807.76938738512,4045526.4195001754,2,4,8.924048305190768
8557.406298313594,2017247.5725481485,2,4,8.403233335661186
31248.42946002444,6580112.923084699,3,6,8.989558785956937
11729.586169936974,2706686.9205233213,2,4,8.70967906580528
31264.91675581974,5802151.954334708,3,6,9.01143982123691
13480.735345968471,1900578.6500605147,2,4,8.080588798619138
9596.40729848668,1867081.9097217014,2,5,8.13116879006647
14869.95682488977,1566908.483533107,3,4,8.161334996949822
17700.547056090883,2095424.9769446745,3,6,8.015816141038092
3290.116531366122,1152530.5214751232,2,2,8.489290921506157
8547.06330884494,2017376.200254447,2,3,8.399525072049913
22269.30825110592,2081086.1402985505,2,6,8.427490817156407
25974.077882605892,5120779.343928431,2,8,8.404457524440271
13800.991082976312,4051164.387123556,2,4,8.914339496497526
20670.97783771559,3150139.3709725533,2,4,8.718634191924092
8551.406655048682,1900055.4161734772,2,4,8.193289174732094
26289.962259642376,2557789.015425523,2,4,9.453215486595104
7308.828369649113,1185699.052880265,3,4,8.108728583722234
8557.223234879712,2018718.5835356696,2,4,8.186745253662009
24567.395924449185,6758477.582147459,2,5,8.818463280046606
7305.943403245445,1331141.7123539532,3,4,8.323662073965085
7319.269841984245,1186164.4641964687,3,4,8.501233690979184
22478.781205336367,3444184.311089284,2,6,9.033399859648446
14870.653989094399,1566973.907226788,2,5,7.933473677090956
7985.638704817682,1152180.3443658252,2,2,8.293032903524068
9596.626198845686,1867322.9050678941,2,5,8.405436566474277
17703.78599140748,2095294.134848913,3,6,8.546468991895146
13482.869135676425,1901017.2455424408,2,4,8.068411638011982
5160.629375004419,5265455.06751045,2,6,8.754651135393061
22271.310720426445,2080704.0525848393,3,3,8.660685571043285
17703.78599140748,2095294.134848913,3,6,8.546468991895146
13799.537152284123,4046963.7801724016,2,4,8.84335428993402
5167.17349004057,5265537.930298359,4,6,8.694363713521552
11799.770599290856,4625615.131775,2,4,7.999599189315355
